,QBER,delta,f_ec,FER,iteration_cost,rounds,iterations
220,0.06,0.0,1.17083,0.0,5.29711,1.2949,56.8757
221,0.06,0.001,1.17514,0.0,2.92348,1.1575,51.0179
222,0.06,0.002,1.18388,0.0,5.40166,1.08565,47.5766
223,0.06,0.003,1.19392,0.0,5.56461,1.0343,44.6645
224,0.06,0.004,1.20613,0.0,4.84966,1.0146,42.5127
225,0.06,0.005,1.21915,0.0,7.13611,1.0073,40.3063
226,0.06,0.006,1.23237,0.0,7.16119,1.00375,37.8609
227,0.06,0.007,1.24562,0.0,7.0822,1.0018,35.4879
228,0.06,0.008,1.25888,0.0,7.16965,1.0011,33.9091
229,0.06,0.009,1.27211,0.0,7.16143,1.0011,33.3426
230,0.06,0.01,1.28535,0.0,7.16335,1.00215,33.8745
