index,class,steps_to_anomaly,dev,dev_normed_by_std,running_dev_w_5,running_dev_w_30,running_dev_w_100,running_mean_w_5,running_mean_w_30,running_mean_w_100,type
91146,before_anomaly,3,0.003366336651338923,0.6060478149346185,0.0009139999999999999,0.002084333333333332,0.0024471999999999983,0.008484,0.009654333333333332,0.010017199999999999,collective
91147,before_anomaly,2,0.0031063366513389232,0.5592395339445612,0.0002720000000000014,0.0018266666666666674,0.0021452999999999993,0.008102000000000002,0.009656666666666668,0.0099753,collective
91148,before_anomaly,1,0.0026963366513389226,0.48542647546024,-0.00014400000000000003,0.0014119999999999983,0.001715099999999999,0.008096,0.009651999999999999,0.0099551,collective
91149,before_anomaly,0,0.0023363366513389234,0.420615009474007,-0.0005039999999999992,0.0010836666666666668,0.0013643000000000006,0.008096,0.009683666666666667,0.0099643,collective
91150,anomaly,0,0.01627366334866108,2.9297777183143245,-0.01532,-0.016961333333333335,-0.017051200000000002,0.011890000000000001,0.010248666666666666,0.010158799999999999,collective
91151,anomaly,0,0.015493663348661075,2.789352875344152,-0.010767999999999996,-0.01569133333333333,-0.016088199999999997,0.015662000000000002,0.010738666666666667,0.010341800000000002,collective
91152,anomaly,0,0.013773663348661076,2.479698093409927,-0.005672,-0.013515333333333332,-0.0141939,0.019038,0.011194666666666667,0.010516099999999999,collective
91153,anomaly,0,0.013883663348661075,2.49950159690572,-0.0024659999999999994,-0.013202333333333332,-0.014182199999999999,0.022354,0.011617666666666667,0.0106378,collective
91154,anomaly,0,0.014173663348661077,2.5517108333946306,0.0005460000000000013,-0.013001,-0.0143417,0.025656,0.012109,0.0107683,collective
91155,anomaly,0,0.012993663348661076,2.339273250439755,0.001069999999999998,-0.011445,-0.0130544,0.024999999999999998,0.012485,0.0108756,collective
91156,anomaly,0,0.012153663348661076,2.1880464964718773,0.001242,-0.010226333333333334,-0.012116199999999999,0.024332,0.012863666666666666,0.0109738,collective
91157,anomaly,0,0.012153663348661076,2.1880464964718773,0.0009179999999999987,-0.009788666666666666,-0.0120121,0.024007999999999998,0.013301333333333333,0.0110779,collective
91158,anomaly,0,0.013363663348661075,2.4058850349256056,-0.00039599999999999705,-0.010525666666666666,-0.013071399999999999,0.023904,0.013774333333333333,0.0112286,collective
91159,anomaly,0,0.013663663348661077,2.4598945899141333,-0.0007980000000000036,-0.010310666666666668,-0.0132283,0.023801999999999997,0.014289333333333333,0.0113717,collective
91160,anomaly,0,0.013953663348661076,2.512103826403043,-0.000896000000000001,-0.010035666666666665,-0.013359499999999998,0.023993999999999998,0.014854333333333334,0.0115305,collective
91161,anomaly,0,0.011383663348661076,2.049421972001323,0.0015200000000000005,-0.006976666666666664,-0.010667,0.02384,0.015343333333333336,0.011653,collective
91162,anomaly,0,0.012743663348661076,2.2942652879493153,0.00027800000000000047,-0.007796000000000001,-0.011878099999999999,0.023958,0.015884,0.0118019,collective
91163,anomaly,0,0.015493663348661075,2.789352875344152,-0.002045999999999999,-0.009936,-0.014434799999999998,0.024384,0.016493999999999998,0.011995200000000001,collective
91164,anomaly,0,0.019573663348661077,3.523882823188128,-0.0049440000000000005,-0.013279666666666665,-0.0182921,0.025566,0.017230333333333334,0.012217900000000002,collective
91165,anomaly,0,0.017483663348661076,3.147616256768052,-0.0021480000000000006,-0.010552333333333334,-0.015999199999999998,0.026272,0.017867666666666667,0.012420800000000001,collective
91166,anomaly,0,0.018553663348661077,3.340250336227134,-0.0017840000000000009,-0.010994666666666666,-0.0168758,0.027705999999999998,0.018495333333333332,0.012614199999999999,collective
91167,anomaly,0,0.018213663348661077,3.2790395072401357,-0.0003499999999999996,-0.010053,-0.0163579,0.0288,0.019097,0.012792099999999999,collective
91168,anomaly,0,0.018103663348661078,3.2592360037443426,0.00028199999999999753,-0.009336666666666667,-0.016078500000000003,0.029321999999999997,0.019703333333333333,0.012961499999999999,collective
91169,anomaly,0,0.016163663348661074,2.9099742148185297,0.0015399999999999997,-0.006870666666666667,-0.013974499999999997,0.02864,0.020229333333333332,0.013125500000000002,collective
91170,anomaly,0,0.013363663348661075,2.4058850349256056,0.0035159999999999983,-0.0036209999999999992,-0.011041399999999998,0.027815999999999997,0.020679,0.0132586,collective
91171,anomaly,0,0.014243663348661078,2.5643130628919537,0.0017739999999999978,-0.004017000000000003,-0.011782500000000001,0.026954,0.021162999999999998,0.0133975,collective
91172,anomaly,0,0.012663663348661076,2.2798627399523745,0.0022439999999999995,-0.0019749999999999976,-0.0100632,0.025844,0.021625000000000002,0.0135368,collective
91173,anomaly,0,0.013033663348661078,2.3464745244382255,0.0008599999999999997,-0.0018216666666666693,-0.010300100000000003,0.02483,0.022148333333333332,0.013669899999999999,collective
91174,anomaly,0,0.014873663348661076,2.6777331283678616,-0.0012379999999999995,-0.0030880000000000005,-0.011987899999999998,0.024572,0.022722,0.013822100000000002,collective
91175,anomaly,0,0.012003663348661075,2.1610417189776134,0.00136,0.0002720000000000014,-0.0089749,0.0243,0.023212,0.0139651,collective
91176,anomaly,0,0.013253663348661076,2.386081531429812,-8.800000000000127e-05,-0.00042400000000000077,-0.010062399999999999,0.024102,0.023766,0.0141276,collective
91177,anomaly,0,0.014023663348661076,2.5247060559003667,-0.0005859999999999997,-0.000623000000000002,-0.0106718,0.024374,0.024336999999999998,0.0142882,collective
91178,anomaly,0,0.011783663348661077,2.121434711986027,0.001403999999999999,0.0020996666666666663,-0.008292800000000001,0.024124,0.024819666666666667,0.0144272,collective
91179,anomaly,0,0.013953663348661076,2.512103826403043,-0.0009499999999999995,0.0004726666666666664,-0.010292899999999999,0.02394,0.025362666666666665,0.0145971,collective
91180,anomaly,0,0.012923663348661076,2.326671020942432,0.00026400000000000035,0.0013909999999999999,-0.009135299999999999,0.024124,0.025251,0.0147247,collective
91181,anomaly,0,0.012043663348661077,2.1682429929760842,0.000902,0.002155999999999998,-0.008145,0.023882,0.025136,0.014835000000000001,collective
91182,anomaly,0,0.011633663348661076,2.094429934491763,0.0008340000000000014,0.002494666666666666,-0.0076148,0.023404,0.025064666666666666,0.0149552,collective
91183,anomaly,0,0.011853663348661078,2.1340369414833504,0.0006280000000000001,0.0022070000000000006,-0.0077179000000000015,0.023418,0.024997000000000002,0.0150721,collective
91184,anomaly,0,0.012703663348661078,2.2870640139508454,-0.0004720000000000002,0.0013080000000000001,-0.0084407,0.023168,0.024948,0.0151993,collective
91185,anomaly,0,0.017303663348661076,3.1152105237749352,-0.004196000000000002,-0.0031483333333333363,-0.012875600000000001,0.024044,0.025091666666666665,0.0153644,collective
91186,anomaly,0,0.020023663348661076,3.604897155670919,-0.005319999999999998,-0.005606000000000003,-0.0154014,0.025640000000000003,0.025353999999999998,0.0155586,collective
91187,anomaly,0,0.019653663348661074,3.538285371185068,-0.0033459999999999983,-0.004986000000000001,-0.014838400000000002,0.027244,0.025604,0.015751599999999998,collective
